ID	Chr	Gene	Start	Stop	n_introns	exon_breakpoints
Q0010	mitochondrion	Q0010	3952	4338	0	3952_4338
Q0017	mitochondrion	Q0017	4254	4415	0	4254_4415
Q0032	mitochondrion	Q0032	11667	11957	0	11667_11957
Q0045	mitochondrion	COX1	13818	26701	7	13818_13986_16435_16470_18954_18991_20508_20984_21995_22246_23612_23746_25318_25342_26229_26701
Q0050	mitochondrion	AI1	13818	16322	0	13818_16322
Q0055	mitochondrion	AI2	13818	18830	1	13818_13986_16435_18830
Q0060	mitochondrion	AI3	13818	19996	2	13818_13986_16435_16470_18954_19996
Q0065	mitochondrion	AI4	13818	21935	3	13818_13986_16435_16470_18954_18991_20508_21935
Q0070	mitochondrion	AI5_ALPHA	13818	23167	4	13818_13986_16435_16470_18954_18991_20508_20984_21995_23167
Q0075	mitochondrion	AI5_BETA	24156	25255	1	24156_24870_24906_25255
Q0080	mitochondrion	ATP8	27666	27812	0	27666_27812
Q0085	mitochondrion	ATP6	28487	29266	0	28487_29266
Q0092	mitochondrion	Q0092	30874	31014	0	30874_31014
Q0105	mitochondrion	COB	36540	43647	5	36540_36954_37723_37736_39141_39217_40841_41090_42508_42558_43297_43647
Q0110	mitochondrion	BI2	36540	38579	1	36540_36954_37723_38579
Q0115	mitochondrion	BI3	36540	40265	2	36540_36954_37723_37736_39141_40265
Q0120	mitochondrion	BI4	36540	42251	3	36540_36954_37723_37736_39141_39217_40841_42251
Q0130	mitochondrion	OLI1	46723	46953	0	46723_46953
Q0140	mitochondrion	VAR1	48901	50097	0	48901_50097
Q0142	mitochondrion	Q0142	51052	51228	0	51052_51228
Q0143	mitochondrion	Q0143	51277	51429	0	51277_51429
Q0144	mitochondrion	Q0144	54109	54438	0	54109_54438
Q0160	mitochondrion	SCEI	61022	61729	0	61022_61729
Q0182	mitochondrion	Q0182	65770	66174	0	65770_66174
Q0250	mitochondrion	COX2	73758	74513	0	73758_74513
Q0255	mitochondrion	Q0255	74495	75984	2	74495_75622_75663_75872_75904_75984
Q0275	mitochondrion	COX3	79213	80022	0	79213_80022
Q0297	mitochondrion	Q0297	85554	85709	0	85554_85709
YAL001C	Chr1	TFC3	147594	151166	1	147594_151006_151097_151166
YAL002W	Chr1	VPS8	143707	147531	0	143707_147531
YAL003W	Chr1	EFB1	142174	143160	1	142174_142253_142620_143160
YAL004W	Chr1	YAL004W	140760	141407	0	140760_141407
YAL005C	Chr1	SSA1	139503	141431	0	139503_141431
YAL007C	Chr1	ERP2	137698	138345	0	137698_138345
YAL008W	Chr1	FUN14	136914	137510	0	136914_137510
YAL009W	Chr1	SPO7	135854	136633	0	135854_136633
YAL010C	Chr1	MDM10	134184	135665	0	134184_135665
YAL011W	Chr1	SWC3	132199	134076	0	132199_134076
YAL012W	Chr1	CYS3	130799	131983	0	130799_131983
